,country,people,obesity_levels,obesity_level_percentage,date
452,Colombia, adults ,obese ,>=30.0,2007
453,Colombia, adults ,overweight ,>=25.0,2004
454,Colombia, adults ,overweight ,>=25.0,2005
455,Colombia, adults ,overweight ,>=25.0,2007
456,Colombia, adults ,pre-obese ,25.0-29.99,2004
457,Colombia, adults ,pre-obese ,25.0-29.99,2005
458,Colombia, adults ,pre-obese ,25.0-29.99,2007
459,Colombia, adults ,underweight ,<18.5,2004
460,Colombia, adults ,underweight ,<18.5,2005
461,Colombia, females ,normal ,18.5-24.99,2004
462,Colombia, females ,normal ,18.5-24.99,2005
463,Colombia, females ,obese ,>=30.0,2
464,Colombia, females ,obese ,>=30.0,2004
465,Colombia, females ,obese ,>=30.0,2005
466,Colombia, females ,obese ,>=30.0,2007
467,Colombia, females ,overweight ,>=25.0,2
468,Colombia, females ,overweight ,>=25.0,2004
469,Colombia, females ,overweight ,>=25.0,2005
470,Colombia, females ,pre-obese ,25.0-29.99,2004
471,Colombia, females ,pre-obese ,25.0-29.99,2005
472,Colombia, females ,underweight ,<18.5,2
473,Colombia, females ,underweight ,<18.5,2004
474,Colombia, females ,underweight ,<18.5,2005
475,Colombia, males ,normal ,18.5-24.99,2004
476,Colombia, males ,normal ,18.5-24.99,2005
477,Colombia, males ,obese ,>=30.0,2004
478,Colombia, males ,obese ,>=30.0,2005
479,Colombia, males ,obese ,>=30.0,2007
480,Colombia, males ,overweight ,>=25.0,2004
481,Colombia, males ,overweight ,>=25.0,2005
482,Colombia, males ,pre-obese ,25.0-29.99,2004
483,Colombia, males ,pre-obese ,25.0-29.99,2005
484,Colombia, males ,underweight ,<18.5,2004
485,Colombia, males ,underweight ,<18.5,2005
486,Congo, females ,moderate and severe thinness ,<=17,2005
487,Congo, females ,normal ,18.5-24.99,2005
488,Congo, females ,obese ,>=30.0,2005
489,Congo, females ,overweight ,>=25.0,2005
490,Congo, females ,underweight ,<18.5,2005
491,Cote d'Ivoire, females ,obese ,>=30.0,1999
492,Cote d'Ivoire, females ,overweight ,>=25.0,1999
493,Cote d'Ivoire, females ,underweight ,<18.5,1999
494,Croatia, adults ,obese ,>=30.0,2003
495,Croatia, adults ,overweight ,>=25.0,2003
496,Croatia, females ,obese ,>=30.0,1999
497,Croatia, females ,obese ,>=30.0,2003
498,Croatia, females ,overweight ,>=25.0,2003
499,Croatia, females ,pre-obese ,25.0-29.99,1999
500,Croatia, males ,obese ,>=30.0,1999
501,Croatia, males ,obese ,>=30.0,2003
502,Croatia, males ,overweight ,>=25.0,2003
503,Croatia, males ,pre-obese ,25.0-29.99,1999
504,Cuba, adults ,normal ,18.5-24.99,2001
505,Cuba, adults ,normal ,18.5-24.99,2002
506,Cuba, adults ,obese ,>=30.0,2001
507,Cuba, adults ,obese ,>=30.0,2002
508,Cuba, adults ,overweight ,>=25.0,2001
509,Cuba, adults ,overweight ,>=25.0,2002
510,Cuba, adults ,pre-obese ,25.0-29.99,2001
511,Cuba, adults ,pre-obese ,25.0-29.99,2002
512,Cuba, females ,moderate and severe thinness ,<=17,2001
513,Cuba, females ,moderate and severe thinness ,<=17,2002
514,Cuba, females ,normal ,18.5-24.99,2001
515,Cuba, females ,normal ,18.5-24.99,2002
516,Cuba, females ,obese ,>=30.0,2001
517,Cuba, females ,obese ,>=30.0,2002
518,Cuba, females ,overweight ,>=25.0,2001
519,Cuba, females ,overweight ,>=25.0,2002
520,Cuba, females ,pre-obese ,25.0-29.99,2001
521,Cuba, females ,pre-obese ,25.0-29.99,2002
522,Cuba, females ,underweight ,<18.5,2001
523,Cuba, females ,underweight ,<18.5,2002
524,Cuba, males ,moderate and severe thinness ,<=17,2001
525,Cuba, males ,moderate and severe thinness ,<=17,2002
526,Cuba, males ,normal ,18.5-24.99,2001
527,Cuba, males ,normal ,18.5-24.99,2002
528,Cuba, males ,obese ,>=30.0,2001
529,Cuba, males ,obese ,>=30.0,2002
